id_token,token
soberanía energética,19229
energética trabajadores,7561
trabajadores pemex,20048
pemex afirma,14834
refinería,17435
dos,6868
bocas,3301
iniciará,10766
producción,16330
gasolinas,9364
en julio,7471
julio refinería,11356
refinería dos,17439
dos bocas,6870
bocas iniciará,3308
iniciará producción,10771
producción gasolinas,16341
gasolinas anuncia,9365
lázaro,12051
cárdenas,5773
batel,2940
deja,6023
coordinación,5369
asesores,2157
presidencia,15665
integrarse,10977
celac,3810
confirma,4755
lázaro cárdenas,12052
cárdenas batel,5774
batel deja,2941
deja coordinación,6024
coordinación asesores,5371
asesores presidencia,2158
presidencia integrarse,15673
integrarse celac,10978
celac confirma,3811
confirma presidente,4760
tabasco,19648
impulsan,10313
tabasco reduce,19662
reduce incidencia,17399
delictiva generación,6053
generación empleos,9399
empleos programas,7381
bienestar impulsan,3175
impulsan desarrollo,10315
desarrollo estado,6243
estado presidente,8044
enumera,7724
convención,5278
bancaria,2860
diez,6596
fortalezas,8994
materia,12319
presidente enumera,15837
enumera convención,7725
convención bancaria,5279
bancaria diez,2863
diez fortalezas,6597
fortalezas méxico,8996
méxico materia,13431
materia económica,12323
madero,12083
producirá,16352
finales,8762
80,617
barriles,2904
diarios,6572
combustibles,4321
refinería madero,17440
madero producirá,12091
producirá finales,16354
finales 2023,8764
2023 80,336
80 mil,621
mil barriles,12883
barriles diarios,2905
diarios combustibles,6573
compromete,4436
fortalecer,8941
personas,14984
discapacidad,6690
presidente compromete,15776
compromete fortalecer,4448
fortalecer atención,8943
atención personas,2241
personas discapacidad,14998
con,4588
rescate,17884
industria,10555
con rescate,4604
rescate industria,17893
industria petrolera,10563
petrolera méxico,15065
méxico avanza,13304
avanza autosuficiencia,2604
energética presidente,7560
propone,16505
alternativa,1450
prohibir,16446
importación,10267
uso,20592
médico,13239
presidente propone,15980
propone alternativa,16506
alternativa prohibir,1453
prohibir importación,16447
importación fentanilo,10269
fentanilo uso,8676
uso médico,20598
convoca,5316
más mil,13223
mil especialistas,12890
especialistas integran,7958
integran imss,10960
bienestar gobierno,3170
gobierno convoca,9543
convoca jubilados,5323
jubilados fortalecer,11313
fortalecer sistema,8955
incluye,10478
medicina,12540
tradicional,20111
méxico incluye,13412
incluye medicina,10481
medicina tradicional,12545
tradicional plan,20113
continúa,5167
19 méxico,186
méxico continúa,13333
continúa tendencia,5181
tendencia reducción,19774
reducción secretaría,17388
continuará,5133
subordinación,19435
méxico continuará,13332
continuará cooperación,5137
cooperación estados,5351
unidos subordinación,20501
subordinación presidente,19436
seguro,18897
causas,3782
violencia,20934
promueve,16470
méxico seguro,13490
seguro estados,18900
unidos presidente,20494
presidente atención,15736
atención causas,2217
causas violencia,3792
violencia promueve,20943
promueve paz,16475
paz afirma,14732
celebra,3814
triunfo,20328
selección,18916
clásico,4189
mundial,13166
presidente celebra,15762
celebra triunfo,3860
triunfo selección,20340
selección mexicana,18917
mexicana béisbol,12724
béisbol estados,3416
unidos clásico,20474
clásico mundial,4190
rescatará,17882
11,41
vestigios,20840
concluyen,4674
prospección,16543
toda,19960
inah rescatará,10380
rescatará 11,17883
11 mil,46
mil vestigios,12908
vestigios tramo,20842
maya concluyen,12359
concluyen trabajos,4677
trabajos prospección,20107
prospección toda,16544
toda ruta,19963
primer,16158
actor,915
ignacio,10199
tarso,19700
fallecimiento primer,8458
primer actor,16159
actor ignacio,917
ignacio lópez,10200
lópez tarso,12074
futura,9174
supervisa futura,19547
futura ruta,9175
ruta electrificada,18372
electrificada tren,7239
consulados,5058
exhibirán,8289
intenciones,10988
electoreras,7227
republicanos,17832
consulados méxico,5059
méxico exhibirán,13385
exhibirán intenciones,8290
intenciones electoreras,10989
electoreras republicanos,7228
republicanos estados,17833
unidos anuncia,20467
labores,11515
brindar,3362
población,15232
sedena realiza,18755
realiza labores,17021
labores inteligencia,11517
inteligencia brindar,10983
brindar seguridad,3366
seguridad población,18869
población afirma,15238
autoridades,2463
ee,7084
uu,20612
respetarán,17991
supervisa autoridades,19534
autoridades ee,2464
ee uu,7085
uu tráfico,20627
tráfico armas,20358
armas fentanilo,2048
fentanilo respetarán,8675
respetarán soberanía,17992
soberanía méxico,19232
reclama,17166
bienes,3099
ilícita,10231
genaro,9381
garcía,9337
luna,12033
uif,20425
revela,18142
operaciones,14353
financieras,8790
méxico reclama,13465
reclama bienes,17167
bienes procedencia,3104
procedencia ilícita,16306
ilícita genaro,10232
genaro garcía,9382
garcía luna,9340
luna uif,12038
uif revela,20428
revela operaciones,18143
operaciones financieras,14360
diálogo,6798
organización,14433
exportadores,8342
petróleo,15078
celebra diálogo,3835
diálogo gobierno,6812
méxico organización,13437
organización países,14436
países exportadores,14803
exportadores petróleo,8343
búnker,3421
simulación,19125
ejemplo,7131
prepotencia,15536
excesos,8274
presidente presenta,15961
presenta búnker,15568
búnker simulación,3422
simulación garcía,19126
luna ejemplo,12036
ejemplo prepotencia,7135
prepotencia excesos,15537
excesos afirma,8275
intervención,11052
reprueba,17826
iniciativa,10773
permitirá intervención,14966
intervención estados,11054
presidente reprueba,16014
reprueba iniciativa,17829
iniciativa republicanos,10788
da,5789
seguimiento,18767
tesla,19852
presidente da,15798
da seguimiento,5800
seguimiento proyectos,18775
proyectos tesla,16654
la,11472
feminista,8670
día,6923
mujeres,13147
la cuarta,11474
transformación feminista,20167
feminista afirma,8671
presidente día,15821
día internacional,6931
internacional mujeres,11026
demanda,6088
transparentar,20211
fideicomisos,8726
ine,10586
judicial,11318
federación,8555
presidente demanda,15806
demanda transparentar,6091
transparentar fideicomisos,20213
fideicomisos ine,8728
ine poder,10589
poder judicial,15279
judicial federación,11320
motor,13112
líder,12053
maquinistas,12225
conducirlo,4713
mujeres motor,13157
motor transformación,13113
transformación presidente,20186
presidente líder,15925
líder maquinistas,12055
maquinistas tren,12226
maya primera,12388
primera conducirlo,16185
conducirlo anuncia,4714
análisis,1808
maíz,12463
transgénico,20193
conocer,4881
méxico propone,13458
propone análisis,16508
análisis maíz,1810
maíz transgénico,12466
transgénico conocer,20194
conocer impacto,4883
impacto salud,10245
salud presidente,18526
convocatoria,5335
servicio,19017
secretaría seguridad,18702
seguridad presenta,18870
presenta convocatoria,15570
convocatoria servicio,5342
servicio protección,19021
protección federal,16557
exhibirá,8287
presidente exhibirá,15849
