id_documento,titulo,fecha
175,Presidente conmemora 110 Aniversario de la Marcha de la Lealtad en Centro Histórico de la Ciudad de México,10.02.2023
176,Santa Lucía será centro de acopio para enviar víveres a Turquía y Siria,10.02.2023
177,Créditos de vivienda con visión social ayudan a superar rezago habitacional en México,10.02.2023
178,Gobierno de México alista licitaciones de parques industriales del Istmo de Tehuantepec,10.02.2023
179,Espacio en Chapultepec dedicado a la naturaleza y cultura será el más importante de México: presidente,10.02.2023
180,Misiones de ayuda humanitaria de México llegan a Chile y Turquía,08.02.2023
181,Más de 4 mil personas acceden a preliberaciones y amnistías,08.02.2023
182,Presidente inaugurará ruta libre hacia el AIFA en el Estado de México,08.02.2023
183,Infraestructura del AIFA tiene capacidad para recibir más de 400 mil toneladas de carga,08.02.2023
184,México envía a Chile ayuda de especialistas en control de incendios,08.02.2023
185,Comunidades del tramo 4 del Tren Maya acceden a Programas para el Bienestar,08.02.2023
186,Tren Maya genera desarrollo en el sureste con obras complementarias; tramo 4 incluye hasta 192 proyectos,08.02.2023
187,Presidente destaca reformas impulsadas por la 4T en beneficio del pueblo; conmemora 106 Aniversario de la Constitución,08.02.2023
188,Discurso del presidente Andrés Manuel López Obrador en el 106 Aniversario de la Promulgación de la Constitución de 1917, desde Querétaro,08.02.2023
189,Hay relevo generacional, afirma presidente al encabezar reuniones estatales del Banco del Bienestar,08.02.2023
190,Producción de vehículos eléctricos en San Luis Potosí se traduce en confianza de inversionistas en el país: presidente,03.02.2023
191,Decreto sobre vuelos de carga dará tiempo a empresas para mudarse al AIFA: presidente,03.02.2023
192,Programas para el Bienestar y remesas fortalecen economía de México; envíos de paisanos alcanzan récord en 2022: presidente,03.02.2023
193,Becas para estudiantes de educación media superior reducen deserción escolar, resalta presidente,03.02.2023
194,Incrementan vuelos en el AIFA por traslado voluntario de aerolíneas, destaca presidente,03.02.2023
195,Presidente recibe en Palacio Nacional al economista griego, Yanis Varoufakis,03.02.2023
196,A la baja, sexta ola de COVID-19; Secretaría de Salud reporta reducción de casos en todo el país,03.02.2023
197,Aumentan consultas de especialidad en estados incorporados al Plan de Salud IMSS Bienestar,03.02.2023
198,Tren Maya impulsa histórico despliegue de infraestructura energética en la Península de Yucatán,03.02.2023
199,Tren Maya genera empleos y bienestar en localidades del tramo 3,03.02.2023
200,Inicia en Morelos Plan de Salud IMSS Bienestar,29.01.2023
201,Presidente celebra reuniones de seguimiento del Banco del Bienestar en estados,29.01.2023
202,Michoacán es el décimo estado incorporado al Plan de Salud IMSS Bienestar,29.01.2023
203,Programa de Mejoramiento Urbano continúa dando resultados en comunidades pobres del país,29.01.2023
204,Presidente pronostica baja de la inflación en 2023,29.01.2023
205,Preparan documental sobre Centro Turístico Islas Marías,29.01.2023
206,Presidente celebra fortaleza del peso y recaudación tributaria en enero,29.01.2023
207,Avanza salvamento arqueológico en ruta del Tren Maya; sitios turísticos mostrarán riqueza cultural del sureste,29.01.2023
208,85 Aniversario de Expropiación Petrolera se conmemorará con fiesta en el Zócalo por rescate de Pemex, anuncia presidente,29.01.2023
209,Necesario que se conozca caso de Genaro García Luna para evitar repetición, afirma presidente; gobierno informará diario sobre juicio en EE.UU.,29.01.2023
210,América debe unirse, reafirma presidente en mensaje a la CELAC; rechaza actos antidemocráticos en Brasil y Perú,24.01.2023
211,Empresas inician traslado de vuelos de carga hacia el AIFA, anuncia presidente,24.01.2023
212,Tren Maya es una hazaña sin precedentes en el mundo: presidente; presentan avances del tramo 2,24.01.2023
213,Escárcega, en Campeche, albergará estación y talleres del Tren Maya: presidente,24.01.2023
214,Presidente destaca belleza de Yucatán en sobrevuelo de supervisión del Tren Maya,24.01.2023
215,Gobierno de México apuesta por la solución a conflictos agrarios; presidente; es asunto de justicia, afirma,24.01.2023
216,Guardia Nacional está en el Metro para apoyar a usuarios; Ciudad de México tiene resultados positivos en seguridad,24.01.2023
217,Presidente inaugura elemento del proyecto Chapultepec: Naturaleza y Cultura,24.01.2023
218,Presidente celebra 80 años del Instituto Mexicano del Seguro Social; agradece compromiso de trabajadores de la salud,24.01.2023
219,Presidente recibe en Palacio Nacional a integrantes de la cooperativa Tosepan, de Puebla,24.01.2023
220,Utilidades del Tren Maya financiarán pensiones del ISSSTE y de las Fuerzas Armadas, afirma presidente,18.01.2023
221,Homicidio doloso, secuestro y robo de combustible a la baja al cierre de 2022,18.01.2023
222,Consolidar sistema de salud es prioridad, afirma presidente; Plan de Salud IMSS Bienestar sumará a 12 estados en primer semestre de 2023,18.01.2023
223,Inician informes semanales de avances por tramo del Tren Maya, proyecto de desarrollo integral en beneficio del sureste,18.01.2023
224,SEP no tiene facultad para anular Titulos profesionales: presidente; caso de ministra corresponde a la UNAM,18.01.2023
225,Presidente anuncia nombramiento de subsecretario de Seguridad y de comandante de la Guardia Nacional,18.01.2023
226,Gobierno de México dialoga con comunidades para terminar construcción del camino Oaxaca-Puerto Escondido,18.01.2023
227,Súpercarretera Oaxaca-Tehuantepec estará lista para diciembre de este año: presidente,18.01.2023
228,Avanza Plan de apoyo a afectados en Oaxaca por huracán Agatha; continuidad se dará a través de asambleas en 31 municipios,18.01.2023
229,Precios de la canasta básica mantienen tendencia a la baja: presidente,18.01.2023
230,Guardia Nacional está en el Metro para proteger a usuarios, afirma presidente,13.01.2023
231,Embajadoras y cónsules representan con dignidad al país, afirma presidente,13.01.2023
232,Gobierno de México atiende con obras y Programas para el Bienestar a comunidades cercanas al Tren Maya: presidente,13.01.2023
233,Presidente resalta resultados de la X Cumbre de Líderes de América del Norte,13.01.2023
234,México y Canadá refuerzan relación; establecen compromisos en economía, energía y bienestar de pueblos indígenas,13.01.2023
235,Presidente recibe visita oficial de Justin Trudeau, primer ministro de Canadá, en Palacio Nacional,13.01.2023
236,México logra acuerdos de cooperación para el desarrollo regional en X Cumbre de América del Norte,13.01.2023
237,Presidente llama a EE.UU. y Canadá a atender causas de migración; programas de México aplicados en Centroamérica dan resultados,13.01.2023
238,Palabras del presidente Andrés Manuel López Obrador en la X Cumbre de Líderes de América del Norte,13.01.2023
239,Presidentes de México y Estados Unidos y primer ministro de Canadá se reúnen previo a la X Cumbre de Líderes de América del Norte,13.01.2023
240,En diálogo con gobierno de Estados Unidos, presidente AMLO presenta propuesta de integración regional para el desarrollo,09.01.2023
241,Presidente recibe en Palacio Nacional a Joseph Biden, presidente de Estados Unidos,09.01.2023
242,Palabras del presidente Andrés Manuel López Obrador en la reunión bilateral México-Estados Unidos,09.01.2023
243,Presidente da la bienvenida al primer ministro de Canadá, Justin Trudeau, en el Aeropuerto Felipe Ángeles,09.01.2023
244,Atender causas de la migración garantiza bienestar a los pueblos de América, afirma presidente,09.01.2023
245,Necesaria, integración de países del continente americano en beneficio de los pueblos: presidente,09.01.2023
246,Presidente recibe a Joseph Biden en el AIFA,09.01.2023
247,Presidente AMLO expresa respaldo a Lula en Brasil tras disturbios en Poder Judicial,09.01.2023
248,Avanza colocación de rieles del Tren Maya en tramo de Mérida a Campeche, resalta presidente,09.01.2023
249,Puente atirantado Tulum-Cancún protegerá ambiente y sitios arqueológicos: presidente,09.01.2023
250,Presidente expresa solidaridad y condolencias por accidente en Línea 3 del Metro de la Ciudad de México,07.01.2023
251,Sedena y Guardia Nacional actuaron con responsabilidad para cuidar población de Sinaloa, destaca presidente,07.01.2023
252,Presidente expresa solidaridad y apoyo al pueblo de Sinaloa; Gobierno de México trabaja para restablecer orden,07.01.2023
253,Presidente participa en Bicentenario del Heroico Colegio Militar,07.01.2023
254,SRE confirma programa de X Cumbre de Líderes de América del Norte y reuniones con mandatarios de Estados Unidos y Canadá,07.01.2023
255,Gobierno de México realiza histórico rescate del patrimonio arqueológico en antiguas ciudades por construcción del Tren Maya,07.01.2023
256,Fertilizantes para el Bienestar se amplía a nivel nacional para beneficiar a 2 millones de productores, anuncia presidente,07.01.2023
257,Atención al pueblo, clave en el funcionamiento de la Estrategia Nacional de Seguridad: presidente; Gabinete presenta resultados 2018-2022,07.01.2023
258,En 2023 seguirán mejorando condiciones de vida y se sentarán bases de la futura transformación: presidente; pronóstico del año es optimista,07.01.2023
259,Cobro de pensiones de personas adultas mayores será ágil y conforme a calendario, anuncia presidente,07.01.2023
260,México presente en toma de posesión de Luiz Inácio Lula Da Silva como presidente de Brasil,01.01.2023
261,2023 será un buen año, afirma presidente,01.01.2023
262,Presidente lamenta fallecimiento del papa en retiro, Benedicto XVI; envía condolencias a la Iglesia Católica,01.01.2023
263,Presidente refrenda compromiso de inaugurar Tren Toluca-Ciudad de México en diciembre de 2023,01.01.2023
264,Desarrollo con bienestar para el pueblo prevaleció en 2022, destaca presidente al evaluar progreso económico del país,01.01.2023
265,Presidente destaca a Pelé como gran futbolista e influyente con su ejemplo tras su fallecimiento,01.01.2023
266,Sistema de Alerta Sísmica Mexicano llegará a celulares en 2023: Protección Civil,01.01.2023
267,Programa de regularización de autos extranjeros se amplía hasta marzo de 2023, anuncia presidente,01.01.2023
268,Presidente anuncia reestructuración de deuda externa para 2025; próximo sexenio pagará la mitad de intereses, afirma,01.01.2023
269,Presidente refrenda compromiso de consolidar en 2023 Estado de bienestar y acceso universal a servicios de salud,01.01.2023
270,Casos de COVID-19 suman ocho semanas de incremento; hospitalizaciones se mantienen estables,27.12.2022
271,Finanzas sanas permiten presupuesto a favor del desarrollo económico, afirma presidente,27.12.2022
272,Tren maya comenzará pruebas en julio de 2023: presidente; anuncia compra de terrenos arqueológicos en Uxmal,27.12.2022
273,Gobierno de México atiende a la población por bajas de temperaturas y lluvias en el país: presidente,27.12.2022
274,Presidente envía mensaje en víspera de Navidad; desea salud y felicidad al pueblo de México,27.12.2022
275,Refinería Olmeca producirá 340 mil barriles diarios de crudo en septiembre de 2023: presidente,27.12.2022
276,Presidente resalta fortaleza del peso mexicano frente al dólar,27.12.2022
277,México tendrá derrama económica excepcional por inversión pública y Programas para el Bienestar: presidente,27.12.2022
278,Presidente constata avances en materia de seguridad en Tabasco; delitos de impacto van a la baja,27.12.2022
279,Presidente reconoce trabajo de embajador mexicano en Perú,27.12.2022
280,Tren maya acercará zonas arqueológicas de Quintana Roo al turismo: presidente,22.12.2022
281,Gobierno de México desarrolla sureste del país con inversión y cuidado del ambiente, afirma presidente,22.12.2022
282,Estrategia de seguridad en Quintana Roo reduce incidencia delictiva de secuestro y robo a negocios,22.12.2022
283,Gobierno de México busca garantizar derechos de extranjeros en el país con modificación al artículo 33: presidente,22.12.2022
284,Relación México-Perú se mantendrá: presidente; embajada continuará protegiendo connacionales,22.12.2022
285,Presidente llama a donar en Colecta Nacional 2022 de Cruz Roja Mexicana,22.12.2022
286,Presidente encabeza reunión con legisladores federales en Palacio Nacional; destaca reformas a favor del pueblo,22.12.2022
287,Gobierno de México impulsa crecimiento económico con mejor distribución de la riqueza, destaca presidente,22.12.2022
