id , palabra , fecha
97,anuncia,14.03.2023
97,presidente,14.03.2023
98,Sedena,14.03.2023
98,realiza,14.03.2023
98,labores,14.03.2023
98,inteligencia,14.03.2023
98,brindar,14.03.2023
98,seguridad,14.03.2023
98,población,,14.03.2023
98,afirma,14.03.2023
98,presidente,14.03.2023
99,Presidente,14.03.2023
99,supervisa,14.03.2023
99,autoridades,14.03.2023
99,EE.UU.,14.03.2023
99,tráfico,14.03.2023
99,armas,14.03.2023
99,fentanilo;,14.03.2023
99,respetarán,14.03.2023
99,soberanía,14.03.2023
99,México,,14.03.2023
99,afirma,14.03.2023
100,Gobierno,09.03.2023
100,México,09.03.2023
100,reclama,09.03.2023
100,bienes,09.03.2023
100,procedencia,09.03.2023
100,ilícita,09.03.2023
100,Genaro,09.03.2023
100,García,09.03.2023
100,Luna;,09.03.2023
100,UIF,09.03.2023
100,revela,09.03.2023
100,operaciones,09.03.2023
100,financieras,09.03.2023
101,Presidente,09.03.2023
101,celebra,09.03.2023
101,diálogo,09.03.2023
101,Gobierno,09.03.2023
101,México,09.03.2023
101,Organización,09.03.2023
101,Países,09.03.2023
101,Exportadores,09.03.2023
101,Petróleo,09.03.2023
102,Presidente,09.03.2023
102,presenta,09.03.2023
102,búnker,09.03.2023
102,simulación,09.03.2023
102,García,09.03.2023
102,Luna;,09.03.2023
102,“ejemplo,09.03.2023
102,prepotencia,09.03.2023
102,excesos”,,09.03.2023
102,afirma,09.03.2023
103,México,09.03.2023
103,permitirá,09.03.2023
103,intervención,09.03.2023
103,Estados,09.03.2023
103,Unidos:,09.03.2023
103,presidente;,09.03.2023
103,reprueba,09.03.2023
103,iniciativa,09.03.2023
103,republicanos,09.03.2023
104,Presidente,09.03.2023
104,da,09.03.2023
104,seguimiento,09.03.2023
104,proyectos,09.03.2023
104,Tesla,09.03.2023
105,La,09.03.2023
105,Cuarta,09.03.2023
105,Transformación,09.03.2023
105,feminista,,09.03.2023
105,afirma,09.03.2023
105,presidente,09.03.2023
105,Día,09.03.2023
105,Internacional,09.03.2023
105,Mujeres,09.03.2023
106,Presidente,09.03.2023
106,demanda,09.03.2023
106,transparentar,09.03.2023
106,fideicomisos,09.03.2023
106,INE,09.03.2023
106,Poder,09.03.2023
106,Judicial,09.03.2023
106,Federación,09.03.2023
107,Mujeres,09.03.2023
107,motor,09.03.2023
107,transformación:,09.03.2023
107,presidente;,09.03.2023
107,líder,09.03.2023
107,maquinistas,09.03.2023
107,Tren,09.03.2023
107,Maya,09.03.2023
107,primera,09.03.2023
107,conducirlo,,09.03.2023
107,anuncia,09.03.2023
108,Gobierno,09.03.2023
108,México,09.03.2023
108,propone,09.03.2023
108,análisis,09.03.2023
108,maíz,09.03.2023
108,transgénico,09.03.2023
